Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
18,25626,1.06,19442,1.08,7933
19,28106,1.1,20741,1.07,8162
20,29218,1.04,21627,1.04,8272
21,31223,1.07,23481,1.09,9528
22,33087,1.06,24127,1.03,8911
23,32347,0.98,24604,1.02,8865
24,33611,1.04,25045,1.02,8841
25,35223,1.05,25693,1.03,9416
26,36562,1.04,26702,1.04,10072
27,38034,1.04,28590,1.07,11496
28,37966,1,28177,0.99,9442
29,37968,1,28138,1,9817
30,39223,1.03,29171,1.04,10883
31,39226,1,29393,1.01,10480
2,36708,0,21191,0.7,0
3,33383,0.91,25618,1.21,13640
4,34745,1.04,26087,1.02,9174
5,34965,1.01,26227,1.01,9187
6,34993,1,26668,1.02,9545
7,35527,1.02,26722,1,9153
8,34318,0.97,26094,0.98,8582
9,31935,0.93,24828,0.95,7612
10,29540,0.93,22943,0.92,6401
11,26038,0.88,20567,0.9,5500
12,22722,0.87,18074,0.88,4300
13,20480,0.9,16207,0.9,4148
14,18887,0.92,14856,0.92,3952
15,18458,0.98,14232,0.96,4367
16,19025,1.03,14552,1.02,5217
17,19628,1.03,14683,1.01,5210
18,20979,1.07,15789,1.08,6384
19,22621,1.08,16653,1.05,6406
20,23244,1.03,17661,1.06,6998
21,25205,1.08,18748,1.06,7393
22,27489,1.09,20339,1.08,8358
23,28272,1.03,21322,1.05,8111
24,29929,1.06,22176,1.04,8411
25,30936,1.03,22846,1.03,8538
26,33422,1.08,24477,1.07,9770
27,33759,1.01,25171,1.03,9378
28,35535,1.05,26142,1.04,9793
29,36190,1.02,26789,1.02,9868
30,35815,0.99,26953,1.01,9471
31,36905,1.03,27951,1.04,10350
2,37408,0,21645,0.7,0
3,34812,0.93,26744,1.24,14283
4,35153,1.01,26495,0.99,8971
5,35084,1,26365,1,9068
6,35518,1.01,26807,1.02,9694
7,37137,1.05,27505,1.03,9841
8,36412,0.98,27149,0.99,9272
9,34788,0.96,26434,0.97,8644
10,31848,0.92,24815,0.94,7508
11,27780,0.87,22026,0.89,5407
12,24922,0.9,19764,0.9,5086
13,22408,0.9,17642,0.89,4514
14,21008,0.94,16525,0.94,4698
15,20919,1,15938,0.96,5014
16,21283,1.02,15952,1,5582
17,22212,1.04,16561,1.04,6264
18,22802,1.03,17386,1.05,6680
19,24358,1.07,17918,1.03,6607
20,26323,1.08,19474,1.09,8015
21,27596,1.05,20958,1.08,8342
22,28361,1.03,21204,1.01,7694
23,30264,1.07,22503,1.06,8767
24,31271,1.03,23359,1.04,8729
25,31712,1.01,24047,1.03,8733
26,34198,1.08,25124,1.04,9534
27,35880,1.05,26714,1.06,10422
28,35682,0.99,26839,1,9348
29,37028,1.04,27551,1.03,9923
30,36544,0.99,27588,1,9537
31,37808,1.03,28318,1.03,10192
2,35754,0,21908,0.7,0
3,33402,0.93,25736,1.17,12728
4,34474,1.03,25615,1,8686
5,35693,1.04,26501,1.03,10052
6,37000,1.04,27442,1.04,10241
7,37553,1.01,28362,1.03,10607
8,35088,0.93,26948,0.95,8218
9,34051,0.97,25635,0.95,7717
10,31074,0.91,24315,0.95,7584
11,27450,0.88,21696,0.89,5566
12,23495,0.86,18992,0.88,4508
13,21041,0.9,16742,0.88,3873
14,20742,0.99,16208,0.97,5025
15,20693,1,15894,0.98,5057
16,20510,0.99,15845,1,5511
17,21203,1.03,16043,1.01,5626
18,22510,1.06,17313,1.08,6907
19,22987,1.02,17602,1.02,6248
20,25333,1.1,18648,1.06,7146
21,25798,1.02,19541,1.05,7570
22,27216,1.05,20259,1.04,7600
23,28783,1.06,21372,1.05,8393
24,29345,1.02,22084,1.03,8370
25,29754,1.01,21895,0.99,7561
26,30450,1.02,22670,1.04,8551
27,31844,1.05,23375,1.03,8635
28,32112,1.01,24257,1.04,9115
29,34706,1.08,25503,1.05,9711
30,35869,1.03,26396,1.04,9994
31,36697,1.02,27351,1.04,10161
2,35715,0,21264,0.7,0
3,32088,0.9,25087,1.18,12760
4,33986,1.06,24818,0.99,8267
5,32642,0.96,24910,1,8789
6,33918,1.04,25519,1.02,9110
7,34193,1.01,25788,1.01,9153
8,33769,0.99,25275,0.98,8403
9,31257,0.93,24330,0.96,7688
10,28295,0.91,22409,0.92,6409
11,25271,0.89,20117,0.9,5323
12,21440,0.85,17440,0.87,3812
13,19368,0.9,15431,0.88,3686
14,18810,0.97,14489,0.94,4297
15,18040,0.96,14134,0.98,4673
16,18286,1.01,14017,0.99,4705
17,19542,1.07,14548,1.04,5493
18,20061,1.03,15110,1.04,5823
19,22746,1.13,16745,1.11,6999
